ref,fileName,date,description,status,publicScore,privateScore
56142365,submission-v16-kanno-top7.tar.gz,2026-09-10 10:26:46.510000,V16 Kanno TOP7 best-sub champion 212-44 V15 16-0 G2 43163a9fd57a09c45f7cd394513efef67852f0bc,SubmissionStatus.PENDING,,
56141709,submission-v15-germanjurado-champion.tar.gz,2026-09-10 09:34:58.737000,V15 GermanJurado TOP15 champion 48-0 G2 16-0 G4 9ab8878daef2d04fc2fad6dc34856c5e8b88b375,SubmissionStatus.COMPLETE,1445.6,
56139250,submission-v14-subin-g2-milk0.tar.gz,2026-09-10 06:49:33.977000,V14 G2 milk0 29-3 vs submitted G2 authorized continuation d557a814714dd75542589d011bf0f5fb63f27e57,SubmissionStatus.COMPLETE,1683.0,
56139063,submission-v13-b21-recovery.tar.gz,2026-09-10 06:39:44.370000,V13 B21 idle recovery 20-4 vs G4 authorized 82644f01d1c31fdd1425553fb40804c643f8661c,SubmissionStatus.COMPLETE,1459.5,
56131785,submission-v11-subin-g4-29-corrected.tar.gz,2026-09-09 22:24:29.813000,V11 G4-29 corrected compact framework-validated explicitly requested 9a7fa036a4d1438e8b1cecd30b8e13164c6b33a2,SubmissionStatus.COMPLETE,1015.0,
56131561,submission-v11-subin-g4-29.tar.gz,2026-09-09 22:06:39.830000,V11 G4-29 TOP5 18-18 TOP10 27-39 TOP15 29-83 closed8-24 explicitly requested d9c5793f994dadd826ceef75daa89cc98b6b9889,SubmissionStatus.ERROR,,
56130711,submission-v10-subin-g2-83-corrected.tar.gz,2026-09-09 20:43:02.840000,V10 G2-83 corrected compact exact-policy framework-validated 3aa7732de48b27500bf32598dded6380b166795f,SubmissionStatus.COMPLETE,2314.3,
56130004,submission-v10-subin-g2-83.tar.gz,2026-09-09 19:39:17.157000,V10 Subin G2-83 cash250 milk1 TOP30 margin672 closed23of32 54dda17e1b918adb80a358a6eef4e0ba7964b896,SubmissionStatus.ERROR,,
56126199,submission-v10-subin-106845775.tar.gz,2026-09-09 15:21:39.150000,V10 static Subin 106845775 open-loop46.7 closed-loop26of32 3ab8d399901661a48b35e97215d77eb97fc79692,SubmissionStatus.COMPLETE,2131.8,
56071535,submission-v9-b21-s16.tar.gz,2026-09-07 07:14:06.533000,V9 B21-S16 TOP49 184of490 margin+835 1819433f0c62bfdcc1f15f4631c27781d19a57f7,SubmissionStatus.COMPLETE,1767.2,
56054139,submission-v8-hybrid.tar.gz,2026-09-06 11:37:46.603000,V8 hybrid 200k 72of85 e76ffc5922574b7ff133b669efddb51b177dfd75,SubmissionStatus.COMPLETE,1800.9,
56054137,submission-v8-aastik.tar.gz,2026-09-06 11:37:44.677000,V8 Aastik rating 73of85 e76ffc5922574b7ff133b669efddb51b177dfd75,SubmissionStatus.COMPLETE,2215.3,
56044395,submission.tar.gz,2026-09-06 01:43:49.250000,kaggr ci fa2830bf30b2ca7e8e8562aeeb88708f0eb82de1,SubmissionStatus.COMPLETE,2193.5,
56037841,submission.tar.gz,2026-09-05 17:31:03.340000,kaggr ci bf032aea97d414e3ce50fcedbc971b9e4ab967fe,SubmissionStatus.COMPLETE,608.4,
56033582,submission.tar.gz,2026-09-05 13:16:29.907000,kaggr ci c518cc27426b671ede9c145a3b54f526aa1a3a7f,SubmissionStatus.COMPLETE,492.0,
56033159,submission.tar.gz,2026-09-05 12:51:53.900000,kaggr ci 5cf876f3d6af7f2d0918d3d381cb15a1738028c1,SubmissionStatus.COMPLETE,469.3,
56032076,submission.tar.gz,2026-09-05 11:53:41.323000,kaggr ci c393cfe0ea88c9bc52b041e5da900c175c972bdd,SubmissionStatus.COMPLETE,396.5,
